File,Unique Keywords Found,Total Matches,Text Length,Keywords Matched,Match Details
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00532-1/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_532_MOESM1_ESM_pdf.md,0,0,9629,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00536-x/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_536_MOESM1_ESM_pdf.md,0,0,5747,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00538-9/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_538_MOESM1_ESM_pdf.md,1,92,8239,google,google: 92
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00540-1/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_540_MOESM1_ESM_pdf.md,0,0,5484,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00541-0/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_541_MOESM1_ESM_pdf.md,0,0,11234,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00543-y/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_543_MOESM1_ESM_pdf.md,0,0,15044,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00545-w/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_545_MOESM1_ESM_pdf.md,0,0,2773,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00550-z/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_550_MOESM1_ESM_pdf.md,0,0,36572,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00552-x/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_552_MOESM1_ESM_pdf.md,0,0,12558,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00553-w/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_553_MOESM1_ESM_pdf.md,0,0,4928,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2025/s42256-025-01150-3/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1150_MOESM1_ESM_pdf.md,0,0,46741,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2025/s42256-025-01151-2/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1151_MOESM1_ESM_pdf.md,0,0,6155,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2025/s42256-025-01154-z/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1154_MOESM1_ESM_pdf.md,0,0,35313,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2025/s42256-025-01156-x/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1156_MOESM1_ESM_pdf.md,0,0,18427,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2025/s42256-025-01131-6/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1131_MOESM1_ESM_pdf.md,0,0,32803,,
