issue_year,volume,issue,article_id,publication_date,online_date,supplementary_asset_count,code_asset_count,status
2022,4,1,s42256-021-00422-y,2022/01,2021/12/30,1,0,ok
2022,4,1,s42256-021-00425-9,2022/01,2022/01/20,1,0,ok
2022,4,1,s42256-021-00427-7,2022/01,2022/01/25,1,0,ok
2022,4,1,s42256-021-00428-6,2022/01,2022/01/25,2,0,ok
2022,4,1,s42256-021-00430-y,2022/01,2022/01/25,2,0,ok
2022,4,1,s42256-021-00431-x,2022/01,2022/01/10,6,0,ok
2022,4,1,s42256-021-00433-9,2022/01,2022/01/25,1,0,ok
2022,4,1,s42256-021-00434-8,2022/01,2022/01/26,11,0,ok
2022,4,1,s42256-021-00435-7,2022-01-25,2022-01-25,0,0,ok
2022,4,1,s42256-021-00436-6,2022/01,2022/01/25,0,0,ok
2022,4,1,s42256-022-00442-2,2022/01,2022/01/25,0,0,ok
2022,4,2,s42256-021-00432-w,2022/02,2022/02/10,2,0,ok
2022,4,2,s42256-021-00437-5,2022/02,2022/02/21,1,0,ok
2022,4,2,s42256-021-00438-4,2022/02,2022/02/07,1,0,ok
2022,4,2,s42256-021-00439-3,2022/02,2022/02/23,9,0,ok
2022,4,2,s42256-022-00440-4,2022/02,2022/02/23,0,0,ok
2022,4,2,s42256-022-00441-3,2022/02,2022/02/23,0,0,ok
2022,4,2,s42256-022-00443-1,2022/02,2022/02/23,1,0,ok
2022,4,2,s42256-022-00444-0,2022/02,2022/02/14,11,0,ok
2022,4,2,s42256-022-00445-z,2022/02,2022/02/23,0,0,ok
2022,4,2,s42256-022-00448-w,2022/02,2022/02/23,3,1,ok
2022,4,2,s42256-022-00449-9,2022/02,2022/02/23,0,0,ok
2022,4,2,s42256-022-00450-2,2022/02,2022/02/23,0,0,ok
2022,4,2,s42256-022-00451-1,2022/02,2022/02/23,0,0,ok
2022,4,2,s42256-022-00456-w,2022/02,2022/02/23,0,0,ok
2022,4,3,s42256-022-00446-y,2022/03,2022/03/14,1,0,ok
2022,4,3,s42256-022-00447-x,2022/03,2022/03/03,1,0,ok
2022,4,3,s42256-022-00452-0,2022/03,2022/03/23,1,0,ok
2022,4,3,s42256-022-00453-z,2022/03,2022/03/08,0,0,ok
2022,4,3,s42256-022-00454-y,2022/03,2022/03/17,1,0,ok
2022,4,3,s42256-022-00455-x,2022/03,2022/03/21,3,0,ok
2022,4,3,s42256-022-00457-9,2022/03,2022/03/21,1,0,ok
2022,4,3,s42256-022-00458-8,2022/03,2022/03/23,2,0,ok
2022,4,3,s42256-022-00459-7,2022/03,2022/03/23,4,0,ok
2022,4,3,s42256-022-00462-y,2022/03,2022/03/23,2,0,ok
2022,4,3,s42256-022-00463-x,2022/03,2022/03/23,0,0,ok
2022,4,3,s42256-022-00465-9,2022/03,2022/03/07,0,0,ok
2022,4,3,s42256-022-00466-8,2022/03,2022/03/09,0,0,ok
2022,4,3,s42256-022-00473-9,2022/03,2022/03/11,0,0,ok
2022,4,3,s42256-022-00476-6,2022/03,2022/03/23,0,0,ok
2022,4,4,s42256-022-00460-0,2022/04,2022/04/04,1,0,ok
2022,4,4,s42256-022-00461-z,2022/04,2022/03/31,1,0,ok
2022,4,4,s42256-022-00464-w,2022/04,2022/04/07,1,0,ok
2022,4,4,s42256-022-00467-7,2022/04,2022/04/04,2,0,ok
2022,4,4,s42256-022-00468-6,2022/04,2022/04/21,1,0,ok
2022,4,4,s42256-022-00469-5,2022/04,2022/04/11,4,0,ok
2022,4,4,s42256-022-00471-x,2022/04,2022/04/07,4,0,ok
2022,4,4,s42256-022-00475-7,2022/04,2022/04/18,0,0,ok
2022,4,4,s42256-022-00477-5,2022/04,2022/04/21,6,0,ok
2022,4,4,s42256-022-00478-4,2022/04,2022/04/22,0,0,ok
