article_id,year,in_main,in_SI,in_code,specific_keywords
s42256-022-00457-9,2022,False,True,False,gpt3
s42256-022-00458-8,2022,True,True,False,gpt3
s42256-023-00612-w,2023,True,False,False,gpt3
s42256-023-00626-4,2023,False,True,False,gpt3
s42256-023-00639-z,2023,True,False,False,gpt3
s42256-023-00647-z,2023,True,False,False,gpt3
s42256-023-00652-2,2023,True,False,False,gpt4
s42256-023-00653-1,2023,False,True,False,gpt3
s42256-023-00692-8,2023,True,False,False,gpt35
s42256-023-00720-7,2023,True,True,False,gpt3
s42256-023-00729-y,2023,False,False,True,gpt3
s42256-023-00765-8,2023,True,False,False,"gpt3,gpt35,gpt35turbo0301,gpt4,gpt40314,gpt40613"
s42256-023-00788-1,2024,True,True,False,"gpt3,gpt4"
s42256-024-00832-8,2024,True,True,False,"gpt35,gpt4"
s42256-024-00872-0,2024,True,False,False,gpt3
s42256-024-00878-8,2024,True,False,False,gpt4
s42256-024-00899-3,2024,True,True,False,"gpt35,gpt4"
s42256-024-00902-x,2024,True,False,False,gpt3
s42256-024-00916-5,2024,True,False,False,gpt3
s42256-024-00963-y,2025,True,True,False,"claude3,claude3opus20240229,gpt3,gpt4,gpt4visionpreview"
s42256-024-00969-6,2025,True,True,False,"gpt3,gpt35,gpt4"
s42256-024-00975-8,2025,True,False,False,"gpt35,gpt4"
s42256-024-00976-7,2025,True,True,False,"gpt35,gpt35turboinstruct,gpt4,gpt4o,gpt4omini"
s42256-025-00981-4,2025,True,True,False,"gpt4,gpt41106preview"
s42256-025-00986-z,2025,True,True,False,"gpt35,gpt4"
s42256-025-00994-z,2025,True,True,False,gpt4
s42256-025-01005-x,2025,True,False,False,"gpt35turbo,gpt35turbo0125,gpt4,gpt40613"
s42256-025-01011-z,2025,False,True,False,dalle2
s42256-025-01014-w,2025,True,False,False,gpt4
s42256-025-01047-1,2025,True,False,False,gpt4
s42256-025-01049-z,2025,True,False,False,"gpt35turbo,gpt4,gpt40314"
s42256-025-01058-y,2025,False,True,False,gpt4
s42256-025-01064-0,2025,True,True,False,"gpt35,gpt4"
s42256-025-01066-y,2025,True,True,False,"gpt3,gpt35,gpt4,gpt4o"
s42256-025-01067-x,2025,True,False,False,gpt4o
s42256-025-01078-8,2025,True,False,False,gpt3
s42256-025-01088-6,2025,True,False,False,"gpt3,textembedding3large"
s42256-025-01101-y,2025,False,True,False,"gpt4o,o3,o3mini"
s42256-025-01113-8,2025,True,True,False,"claude3,gpt3,gpt35,gpt4,gpt4o,o3,o3mini"
s42256-025-01115-6,2025,True,True,False,"gpt3,gpt35,gpt35turbo0125,gpt4o,gpt4o20240806,gpt4omini20240718"
s42256-025-01137-0,2025,True,False,False,"gemini15flash,gpt3,gpt35,gpt4o,gpt4omini"
s42256-025-01148-x,2025,True,False,False,gpt4
