File,Unique Keywords Found,Total Matches,Text Length,Keywords Matched,Match Details
markdown/2025/s42256-025-01160-1.md,0,0,48116,,
markdown/2025/s42256-025-01161-0.md,0,0,71785,,
markdown/2025/s42256-025-01163-y.md,0,0,64713,,
markdown/2025/s42256-025-01166-9.md,1,1,23050,google,google: 1
markdown/2025/s42256-024-00942-3.md,0,0,55261,,
markdown/2025/s42256-024-00956-x.md,0,0,58351,,
markdown/2025/s42256-024-00958-9.md,0,0,27425,,
markdown/2025/s42256-024-00960-1.md,0,0,42151,,
markdown/2025/s42256-024-00963-y.md,8,25,45812,"gpt4, gpt3, gpt4visionpreview, claude3, claude3opus20240229, openai, anthropic, chatgpt",gpt4: 1; gpt3: 1; gpt4visionpreview: 2; claude3: 14; claude3opus20240229: 1; openai: 2; anthropic: 2; chatgpt: 2
markdown/2025/s42256-024-00964-x.md,0,0,50677,,
markdown/2025/s42256-024-00965-w.md,0,0,49721,,
markdown/2025/s42256-024-00966-9.md,0,0,57838,,
markdown/2025/s42256-024-00969-6.md,4,10,72905,"gpt4, gpt35, gpt3, google",gpt4: 2; gpt35: 1; gpt3: 5; google: 2
markdown/2025/s42256-024-00971-y.md,0,0,56686,,
markdown/2024/s42256-024-00823-9.md,0,0,49610,,
markdown/2024/s42256-024-00824-8.md,0,0,77891,,
markdown/2024/s42256-024-00825-7.md,0,0,45994,,
markdown/2024/s42256-024-00829-3.md,0,0,47103,,
markdown/2024/s42256-024-00831-9.md,0,0,52209,,
markdown/2024/s42256-024-00832-8.md,5,24,44114,"gpt4, gpt35, openai, google, chatgpt",gpt4: 17; gpt35: 2; openai: 3; google: 1; chatgpt: 1
markdown/2024/s42256-024-00833-7.md,0,0,38462,,
markdown/2024/s42256-024-00836-4.md,0,0,45431,,
markdown/2024/s42256-024-00837-3.md,0,0,49937,,
markdown/2024/s42256-024-00838-2.md,0,0,44151,,
markdown/2022/s42256-022-00569-2.md,0,0,46681,,
markdown/2022/s42256-022-00571-8.md,0,0,54764,,
markdown/2022/s42256-022-00572-7.md,0,0,41375,,
markdown/2022/s42256-022-00574-5.md,0,0,69931,,
markdown/2022/s42256-022-00575-4.md,0,0,30620,,
markdown/2022/s42256-022-00576-3.md,0,0,39148,,
markdown/2022/s42256-022-00577-2.md,0,0,57077,,
markdown/2022/s42256-022-00579-0.md,0,0,30165,,
markdown/2022/s42256-022-00580-7.md,0,0,38532,,
markdown/2022/s42256-022-00581-6.md,0,0,33722,,
markdown/2022/s42256-022-00498-0.md,0,0,67708,,
markdown/2022/s42256-022-00500-9.md,0,0,51509,,
markdown/2022/s42256-022-00501-8.md,0,0,36759,,
markdown/2022/s42256-022-00502-7.md,0,0,61873,,
markdown/2022/s42256-022-00503-6.md,0,0,57894,,
markdown/2022/s42256-022-00505-4.md,0,0,48807,,
markdown/2022/s42256-022-00506-3.md,0,0,67401,,
markdown/2022/s42256-022-00509-0.md,1,1,36971,google,google: 1
markdown/2022/s42256-022-00510-7.md,0,0,44897,,
markdown/2022/s42256-022-00515-2.md,0,0,55331,,
markdown/2022/s42256-022-00441-3.md,0,0,34344,,
markdown/2022/s42256-022-00443-1.md,0,0,46299,,
markdown/2022/s42256-022-00444-0.md,0,0,58100,,
