File,Unique Keywords Found,Total Matches,Text Length,Keywords Matched,Match Details
markdown_si/2022/s42256-022-00532-1/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_532_MOESM1_ESM_pdf.md,0,0,9629,,
markdown_si/2022/s42256-022-00536-x/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_536_MOESM1_ESM_pdf.md,0,0,5747,,
markdown_si/2022/s42256-022-00538-9/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_538_MOESM1_ESM_pdf.md,1,92,8239,google,google: 92
markdown_si/2022/s42256-022-00540-1/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_540_MOESM1_ESM_pdf.md,0,0,5484,,
markdown_si/2022/s42256-022-00541-0/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_541_MOESM1_ESM_pdf.md,0,0,11234,,
markdown_si/2022/s42256-022-00543-y/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_543_MOESM1_ESM_pdf.md,0,0,15044,,
markdown_si/2022/s42256-022-00545-w/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_545_MOESM1_ESM_pdf.md,0,0,2773,,
markdown_si/2022/s42256-022-00550-z/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_550_MOESM1_ESM_pdf.md,0,0,36572,,
markdown_si/2022/s42256-022-00552-x/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_552_MOESM1_ESM_pdf.md,0,0,12558,,
markdown_si/2022/s42256-022-00553-w/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_553_MOESM1_ESM_pdf.md,0,0,4928,,
markdown_si/2025/s42256-025-01150-3/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1150_MOESM1_ESM_pdf.md,0,0,46741,,
markdown_si/2025/s42256-025-01151-2/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1151_MOESM1_ESM_pdf.md,0,0,6155,,
markdown_si/2025/s42256-025-01154-z/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1154_MOESM1_ESM_pdf.md,0,0,35313,,
markdown_si/2025/s42256-025-01156-x/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1156_MOESM1_ESM_pdf.md,0,0,18427,,
markdown_si/2025/s42256-025-01131-6/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1131_MOESM1_ESM_pdf.md,0,0,32803,,
markdown_si/2025/s42256-025-01135-2/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1135_MOESM1_ESM_pdf.md,0,0,12978,,
markdown_si/2025/s42256-025-01136-1/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1136_MOESM1_ESM_pdf.md,0,0,4929,,
markdown_si/2025/s42256-025-01138-z/01_supplementary_pdf_Supplementary_Data_download_PDF_42256_2025_1138_MOESM1_ESM_pdf.md,0,0,2021,,
markdown_si/2025/s42256-025-01140-5/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1140_MOESM1_ESM_pdf.md,0,0,12055,,
markdown_si/2025/s42256-025-01141-4/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1141_MOESM1_ESM_pdf.md,0,0,5121,,
markdown_si/2025/s42256-025-01142-3/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1142_MOESM1_ESM_pdf.md,0,0,1913,,
markdown_si/2025/s42256-025-01143-2/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1143_MOESM1_ESM_pdf.md,0,0,14987,,
markdown_si/2025/s42256-025-01144-1/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1144_MOESM1_ESM_pdf.md,0,0,888,,
markdown_si/2025/s42256-025-01149-w/01_supplementary_information_Supplementary_Information_download_PDF_42256_2025_1149_MOESM1_ESM_pdf.md,0,0,52716,,
markdown_si/2022/s42256-022-00555-8/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_555_MOESM1_ESM_pdf.md,0,0,32572,,
markdown_si/2022/s42256-022-00557-6/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_557_MOESM1_ESM_pdf.md,0,0,69207,,
