File,Total Matches,abstract_matches,acknowledgements_matches,appendix_matches,conclusion_matches,experiments_matches,introduction_matches,methods_matches,other_matches,references_matches,related_work_matches,results_matches
aaai_2022/AAAI_2022_21581,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21582,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21583,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21584,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21585,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21586,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21587,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21588,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21589,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21590,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21591,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21592,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21593,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21594,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21595,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21596,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21597,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21598,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21599,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21600,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21601,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21602,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21603,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21604,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21605,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21606,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21607,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21608,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21609,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21610,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21611,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21612,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21613,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21614,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21615,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21616,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21617,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21618,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21619,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21620,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21621,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21622,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21623,0,0,0,0,0,0,0,0,0,0,0,0
aaai_2022/AAAI_2022_21624,0,0,0,0,0,0,0,0,0,0,0,0
