File,Unique Keywords Found,Total Matches,Text Length,Keywords Matched,Match Details
aaai_2022/AAAI_2022_19993,0,0,33235,,
aaai_2022/AAAI_2022_19994,0,0,28187,,
aaai_2022/AAAI_2022_19995,0,0,28451,,
aaai_2022/AAAI_2022_19996,0,0,27720,,
aaai_2022/AAAI_2022_19997,0,0,33432,,
aaai_2022/AAAI_2022_19998,0,0,35317,,
aaai_2022/AAAI_2022_19999,0,0,28660,,
aaai_2022/AAAI_2022_20000,0,0,32437,,
aaai_2022/AAAI_2022_20001,0,0,31872,,
aaai_2022/AAAI_2022_20002,0,0,28765,,
aaai_2022/AAAI_2022_20255,0,0,24585,,
aaai_2022/AAAI_2022_20256,0,0,31087,,
aaai_2022/AAAI_2022_20257,0,0,35525,,
aaai_2022/AAAI_2022_20258,0,0,30604,,
aaai_2022/AAAI_2022_20259,0,0,35163,,
aaai_2022/AAAI_2022_20260,0,0,26398,,
aaai_2022/AAAI_2022_20261,0,0,26472,,
aaai_2022/AAAI_2022_20262,0,0,32125,,
aaai_2022/AAAI_2022_20263,0,0,34232,,
aaai_2022/AAAI_2022_20264,0,0,29702,,
aaai_2022/AAAI_2022_19913,0,0,29170,,
aaai_2022/AAAI_2022_19914,0,0,30474,,
aaai_2022/AAAI_2022_19915,0,0,37027,,
aaai_2022/AAAI_2022_19916,0,0,25397,,
aaai_2022/AAAI_2022_19917,0,0,34310,,
aaai_2022/AAAI_2022_19918,0,0,29615,,
aaai_2022/AAAI_2022_19919,0,0,28779,,
aaai_2022/AAAI_2022_19920,0,0,31232,,
aaai_2022/AAAI_2022_19921,0,0,29720,,
aaai_2022/AAAI_2022_19922,0,0,38288,,
aaai_2022/AAAI_2022_19903,0,0,33752,,
aaai_2022/AAAI_2022_19904,0,0,31908,,
aaai_2022/AAAI_2022_19905,0,0,26430,,
aaai_2022/AAAI_2022_19906,0,0,27224,,
aaai_2022/AAAI_2022_19907,0,0,31509,,
aaai_2022/AAAI_2022_19908,0,0,32317,,
aaai_2022/AAAI_2022_19909,0,0,30656,,
aaai_2022/AAAI_2022_19910,0,0,33115,,
aaai_2022/AAAI_2022_19911,0,0,32195,,
aaai_2022/AAAI_2022_19912,0,0,34954,,
aaai_2022/AAAI_2022_20184,0,0,34162,,
aaai_2022/AAAI_2022_20185,0,0,32945,,
aaai_2022/AAAI_2022_20186,0,0,32831,,
aaai_2022/AAAI_2022_20187,0,0,33376,,
aaai_2022/AAAI_2022_20188,0,0,28133,,
