Model / System,Shutdown date
chatgpt-4o-latest,2/17/2026
codex-mini-latest,2/12/2026
dall-e-2,5/12/2026
dall-e-3,5/12/2026
gpt-4-0314,3/26/2026
gpt-4-1106-preview,3/26/2026
gpt-4-0125-preview,3/26/2026
gpt-3.5-turbo-instruct,9/28/2026
babbage-002,9/28/2026
davinci-002,9/28/2026
gpt-3.5-turbo-1106,9/28/2026
OpenAI-Beta: realtime=v1,2/27/2026
Assistants API,8/26/2026
gpt-4o-realtime-preview,3/24/2026
gpt-4o-realtime-preview-2025-06-03,3/24/2026
gpt-4o-realtime-preview-2024-12-17,3/24/2026
gpt-4o-mini-realtime-preview,3/24/2026
gpt-4o-audio-preview,3/24/2026
gpt-4o-mini-audio-preview,3/24/2026
gpt-4o-realtime-preview-2024-10-01,10/10/2025
gpt-4o-audio-preview-2024-10-01,10/10/2025
text-moderation-007,10/27/2025
text-moderation-stable,10/27/2025
text-moderation-latest,10/27/2025
o1-preview,7/28/2025
o1-mini,10/27/2025
gpt-4.5-preview,7/14/2025
OpenAI-Beta: assistants=v1,12/18/2024
New fine-tuning training on babbage-002,10/28/2024
New fine-tuning training on davinci-002,10/28/2024
gpt-4-32k,6/6/2025
gpt-4-32k-0613,6/6/2025
gpt-4-32k-0314,6/6/2025
gpt-4-vision-preview,12/6/2024
gpt-4-1106-vision-preview,12/6/2024
gpt-3.5-turbo-0613,9/13/2024
gpt-3.5-turbo-16k-0613,9/13/2024
/v1/fine-tunes,1/4/2024
text-ada-001,1/4/2024
text-babbage-001,1/4/2024
text-curie-001,1/4/2024
text-davinci-001,1/4/2024
text-davinci-002,1/4/2024
text-davinci-003,1/4/2024
ada,1/4/2024
babbage,1/4/2024
curie,1/4/2024
davinci,1/4/2024
code-davinci-002,1/4/2024
text-davinci-edit-001,1/4/2024
code-davinci-edit-001,1/4/2024
/v1/edits,1/4/2024
text-similarity-ada-001,1/4/2024
text-search-ada-doc-001,1/4/2024
text-search-ada-query-001,1/4/2024
code-search-ada-code-001,1/4/2024
code-search-ada-text-001,1/4/2024
text-similarity-babbage-001,1/4/2024
text-search-babbage-doc-001,1/4/2024
text-search-babbage-query-001,1/4/2024
code-search-babbage-code-001,1/4/2024
code-search-babbage-text-001,1/4/2024
text-similarity-curie-001,1/4/2024
text-search-curie-doc-001,1/4/2024
text-search-curie-query-001,1/4/2024
text-similarity-davinci-001,1/4/2024
text-search-davinci-doc-001,1/4/2024
text-search-davinci-query-001,1/4/2024
gpt-3.5-turbo-0301,9/13/2024
code-davinci-001,3/23/2023
code-cushman-002,3/23/2023
code-cushman-001,3/23/2023
/v1/engines,12/3/2022
/v1/search,12/3/2022
/v1/classifications,12/3/2022
/v1/answers,12/3/2022
claude-3-7-sonnet-20250219,2/19/2026
claude-3-5-haiku-20241022,2/19/2026
claude-3-5-sonnet-20240620,10/28/2025
claude-3-5-sonnet-20241022,10/28/2025
claude-3-opus-20240229,1/5/2026
claude-2.0,7/21/2025
claude-2.1,7/21/2025
claude-3-sonnet-20240229,7/21/2025
claude-1.0,11/6/2024
claude-1.1,11/6/2024
claude-1.2,11/6/2024
claude-1.3,11/6/2024
claude-instant-1.0,11/6/2024
claude-instant-1.1,11/6/2024
claude-instant-1.2,11/6/2024
gemini-2.5-pro,6/17/2026
gemini-2.5-pro-preview-03-25,12/2/2025
gemini-2.5-pro-preview-05-06,12/2/2025
gemini-2.5-pro-preview-06-05,12/2/2025
gemini-2.5-flash,6/17/2026
gemini-2.5-flash-image,10/2/2026
gemini-2.5-flash-lite,7/22/2026
gemini-2.5-flash-preview-05-20,11/18/2025
gemini-2.5-flash-image-preview,1/15/2026
gemini-2.5-flash-preview-09-25,2/17/2026
gemini-2.0-flash,3/31/2026
gemini-2.0-flash-001,3/31/2026
gemini-2.0-flash-lite,3/31/2026
gemini-2.0-flash-lite-001,3/31/2026
gemini-2.0-flash-preview-image-generation,11/14/2025
gemini-2.0-flash-lite-preview,12/9/2025
gemini-2.0-flash-lite-preview-02-05,12/9/2025
gemini-2.0-flash-live-001,12/9/2025
gemini-live-2.5-flash-preview,12/9/2025
text-embedding-001,7/14/2026
text-embedding-004,1/14/2026
imagen-4.0-generate-001,6/24/2026
imagen-4.0-ultra-generate-001,6/24/2026
imagen-4.0-fast-generate-001,6/24/2026
imagen-3.0-generate-002,11/10/2025
imagen-4.0-generate-preview-06-06,2/17/2026
imagen-4.0-ultra-generate-preview-06-06,2/17/2026
veo-3.0-generate-preview,11/12/2025
veo-3.0-fast-generate-preview,11/12/2025
